HALF ORBIT,CRID,TYPE,DATA STREAM,DESCRIPTION,DATES AFFECTED
1475D-1483D,,Missing,Radiometer,"L0A_Radiometer not received _safe mode  May 12-14, 2015",12-May-15
1442D,R13080,Bad,Radar,ratty L0A_Radar telemetry (time correlation clock jump),10-May-15
1449A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",10-May-15
1381D,R13080,Bad,Radar,Spice error for L0A_Radar processing_no products produced,6-May-15
1381D,R13080,Bad,Radiometer,Spice error for L0A_Radiometer processing_no products produced,6-May-15
1306D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",30-Apr-15
1106D,R12240,Bad,Radar,insuffDSKData so no L1C_S0_HiRes Radar product,17-Apr-15
909A,R12170,Bad,Radiometer,no scan in L1A Radiometer to be able to produced L1B_TB,3-Apr-15
909D,R12170,Bad,Radiometer,no scan in L1A Radiometer to be able to produced L1B_TB,3-Apr-15
910A,R12170,Bad,Radiometer,no scan in L1A Radiometer to be able to produced L1B_TB,3-Apr-15
910D,R13080,Bad,Radiometer,L1B_TB ant scan angle error,3-Apr-15
911A,R13080,Bad,Radiometer,L1B_TB ant scan angle error,3-Apr-15
911D,R13080,Bad,Radiometer,L1B_TB ant scan angle error,3-Apr-15
